,Unnamed: 0,Unnamed: 0.1,cell_x,cell_y,death_time
0,0,0,1432.0,1043.0000000000002,0
1,1,1,586.0000000000002,1391.0000000000002,15
2,2,2,448.00000000000017,1649.0000000000002,15
3,3,3,427.00000000000017,1673.0000000000002,15
4,4,4,832.0,1559.0000000000002,15
5,5,5,946.0,1457.000000000001,15
6,6,6,1147.0,2009.0,15
7,7,7,1045.0,779.0000000000005,15
8,8,8,1528.0,1310.0000000000002,15
9,9,9,1573.0,1313.0000000000002,15
10,10,10,1669.0,1148.0000000000002,15
11,11,11,1666.0,260.0000000000004,15
12,12,12,1654.0,317.0000000000004,15
13,13,13,1993.0,401.0000000000005,15
14,14,14,1993.0,596.0000000000006,15
15,15,15,838.0,1352.0000000000002,30
16,16,16,613.0000000000002,1601.0000000000002,30
17,17,17,733.0000000000003,1541.0000000000002,30
18,18,18,892.0,1544.0000000000002,30
19,19,19,1120.0,1787.0000000000002,30
20,20,20,979.0,1949.0,30
21,21,21,901.0,1046.0000000000002,30
22,22,22,1072.0,884.0000000000005,30
23,23,23,1753.0,1181.0000000000002,30
24,24,24,1717.0,1166.0000000000002,30
25,25,25,1747.0,1082.0000000000002,30
26,26,26,1978.0,689.0000000000005,30
27,27,27,2017.0,668.0000000000006,30
28,28,28,2248.0,164.00000000000043,30
29,29,29,1717.0,113.00000000000044,30
30,30,30,1654.0,122.00000000000044,30
31,31,31,1498.0,404.0000000000004,30
32,32,32,1849.0,1559.0000000000002,30
33,33,33,1708.0,1613.0000000000002,30
34,34,34,649.0000000000002,1547.0000000000002,45
35,35,35,853.0,1436.0000000000002,45
36,36,36,1132.0,1643.0000000000002,45
37,37,37,1141.0,1598.0000000000002,45
38,38,38,1426.0,1238.0000000000002,45
39,39,39,1552.0,1247.0000000000002,45
40,40,40,991.0,965.0000000000005,45
41,41,41,1084.0,542.0000000000006,45
42,42,42,1408.0,758.0000000000005,45
43,43,43,1396.0,893.0000000000005,45
44,44,44,1618.0,473.0000000000005,45
45,45,45,2053.0,212.00000000000043,45
46,46,46,2026.0,383.0000000000005,45
47,47,47,2008.0,356.00000000000045,45
48,48,48,1957.0,896.0000000000005,45
49,49,49,1735.0,1571.0000000000002,45
50,50,50,2043.9999999999995,1541.0000000000002,45
51,51,51,331.00000000000017,1463.0000000000002,60
52,52,52,298.00000000000017,1484.0000000000002,60
53,53,53,604.0000000000002,1448.0000000000002,60
54,54,54,985.0,1562.0000000000002,60
55,55,55,991.0,1916.0,60
56,56,56,940.0,1901.0,60
57,57,57,1117.0,1967.0,60
58,58,58,1189.0,1964.0,60
59,59,59,1234.0,1754.0000000000002,60
60,60,60,1243.0,1673.0000000000002,60
61,61,61,1705.0,1637.0000000000002,60
62,62,62,2146.0,1448.0000000000002,60
63,63,63,1006.0,833.0000000000005,60
64,64,64,1018.0,884.0000000000005,60
65,65,65,1177.0,791.0000000000005,60
66,66,66,1792.0,1061.0000000000002,60
67,67,67,622.0000000000002,1652.0000000000002,75
68,68,68,769.0000000000003,1496.0000000000002,75
69,69,69,916.0,1868.0,75
70,70,70,973.0,1883.0,75
71,71,71,1180.0,1712.0000000000002,75
72,72,72,997.0,1286.0000000000002,75
73,73,73,1051.0,953.0000000000005,75
74,74,74,805.0000000000003,707.0000000000005,75
75,75,75,1015.0,635.0000000000006,75
76,76,76,1435.0,728.0000000000005,75
77,77,77,1735.0,173.00000000000043,75
78,78,78,2113.0,1391.0000000000002,75
79,79,79,2071.0,1469.0000000000002,75
80,80,80,898.0,1982.0,90
81,81,81,931.0,1958.0,90
82,82,82,1264.0,1931.0,90
83,83,83,904.0,1769.0000000000002,90
84,84,84,1009.0,1640.0000000000002,90
85,85,85,1168.0,1661.0000000000002,90
86,86,86,982.0,1496.0000000000002,90
87,87,87,538.0000000000001,1427.0000000000002,90
88,88,88,1060.0,1037.0000000000002,90
89,89,89,1258.0,1067.0000000000002,90
90,90,90,1303.0,1070.0000000000002,90
91,91,91,1192.0,665.0000000000002,90
92,92,92,1297.0,581.0000000000006,90
93,93,93,1261.0,542.0000000000006,90
94,94,94,1801.0,1517.0000000000002,90
95,95,95,2068.0,1391.0000000000002,90
96,96,96,937.0,1583.0000000000002,105
97,97,97,1066.0,1646.0000000000002,105
98,98,98,961.0,752.0000000000005,105
99,99,99,1252.0,632.0000000000006,105
100,100,100,1717.0,218.00000000000043,105
101,101,101,2191.0,1403.0000000000002,105
102,102,102,2074.0,752.0000000000005,105
103,103,103,943.0,1745.0000000000002,120
104,104,104,1033.0,1670.0000000000002,120
105,105,105,1048.0,1601.0000000000002,120
106,106,106,985.0,1043.0000000000002,120
107,107,107,961.0,866.0000000000005,120
108,108,108,901.0,821.0000000000005,120
109,109,109,1093.0,713.0000000000005,120
110,110,110,1141.0,602.0000000000006,120
111,111,111,1195.0,617.0000000000006,120
112,112,112,1165.0,569.0000000000006,120
113,113,113,1384.0,464.0000000000005,120
114,114,114,1423.0,383.0000000000005,120
115,115,115,1471.0,680.0000000000006,120
116,116,116,1624.0,590.0000000000006,120
117,117,117,1933.0,644.0000000000006,120
118,118,118,1978.0,779.0000000000005,120
119,119,119,925.0,902.0000000000006,135
120,120,120,883.0,710.0000000000005,135
121,121,121,1252.0,689.0000000000005,135
122,122,122,1525.0,314.0000000000004,135
123,123,123,1648.0,446.0000000000005,135
124,124,124,1675.0,416.0000000000005,135
125,125,125,1555.0,608.0000000000006,135
126,126,126,1501.0,719.0000000000005,135
127,127,127,1846.0,1022.0000000000005,135
128,128,128,874.0,1823.0,150
129,129,129,1165.0,1877.0,150
130,130,130,1075.0,1757.0000000000002,150
131,131,131,1096.0,461.0000000000005,150
132,132,132,1591.0,347.00000000000045,150
133,133,133,1633.0,203.00000000000043,150
134,134,134,2248.0,857.0000000000005,150
135,135,135,2293.0,872.0000000000005,150
136,136,136,2011.0,731.0000000000005,150
137,137,137,1435.0,1310.0000000000002,150
138,138,138,943.0,1214.0000000000002,165
139,139,139,1249.0,878.0000000000005,165
140,140,140,1366.0,833.0000000000005,165
141,141,141,1564.0,668.0000000000006,165
142,142,142,1576.0,278.0000000000004,165
143,143,143,1519.0,224.00000000000043,165
144,144,144,1225.0,728.0000000000005,165
145,145,145,1027.0,1187.0000000000005,180
146,146,146,1006.0,1145.0000000000002,180
147,147,147,1132.0,731.0000000000005,180
148,148,148,1168.0,698.0000000000005,180
149,149,149,1639.0,704.0000000000005,180
150,150,150,1666.0,707.0000000000005,180
151,151,151,1852.0,1109.0000000000002,180
152,152,152,1594.0,140.00000000000043,195
153,153,153,1960.0,989.0000000000005,210
154,154,154,1036.0,1937.0,210
155,155,155,1873.0,986.0000000000005,225
156,156,156,2263.0,797.0000000000005,240
157,157,157,1123.0,1919.0,240
158,158,158,1420.0,1379.0000000000002,255
159,159,159,700.0000000000003,1502.0000000000002,255
160,160,160,565.0000000000002,1847.0,270
161,161,161,2077.0,557.0000000000006,285
162,162,162,868.0,1961.0,315
163,163,163,1075.0,1865.0,330
164,164,164,1303.0,1835.0,360
0,0,0,1195.0,1679.0000000000002,0
1,1,1,136.00000000000023,689.0000000000005,15
2,2,2,112.00000000000024,794.0000000000005,15
3,3,3,58.000000000000256,1019.0000000000005,15
4,4,4,337.00000000000017,1025.0000000000002,15
5,5,5,1336.0,1223.0000000000002,15
6,6,6,1336.0,1160.0000000000002,15
7,7,7,1216.0,551.0000000000006,15
8,8,8,1714.0,587.0000000000006,15
9,9,9,250.00000000000023,449.0000000000005,30
10,10,10,382.00000000000017,515.0000000000006,30
11,11,11,451.00000000000017,914.0000000000005,30
12,12,12,223.00000000000023,830.0000000000005,30
13,13,13,139.00000000000023,851.0000000000005,30
14,14,14,175.00000000000026,953.0000000000005,30
15,15,15,286.00000000000017,1643.0000000000002,30
16,16,16,583.0000000000002,812.0000000000005,30
17,17,17,1093.0,1586.0000000000002,30
18,18,18,1447.0,1274.0000000000002,30
19,19,19,1147.0,554.0000000000006,30
20,20,20,1378.0,578.0000000000006,30
21,21,21,2143.0,1619.0000000000002,30
22,22,22,403.00000000000017,569.0000000000006,45
23,23,23,205.00000000000023,707.0000000000005,45
24,24,24,148.00000000000026,1001.0000000000005,45
25,25,25,193.00000000000023,1031.0000000000002,45
26,26,26,271.00000000000017,1037.0000000000002,45
27,27,27,553.0000000000001,914.0000000000005,45
28,28,28,496.00000000000017,902.0000000000006,45
29,29,29,598.0000000000002,605.0000000000006,45
30,30,30,694.0000000000003,668.0000000000006,45
31,31,31,868.0,764.0000000000005,45
32,32,32,958.0,1181.0000000000002,45
33,33,33,1012.0,1244.0000000000002,45
34,34,34,1141.0,1670.0000000000002,45
35,35,35,1297.0,1859.0,45
36,36,36,1450.0,620.0000000000006,45
37,37,37,1588.0,449.0000000000005,45
38,38,38,1666.0,425.0000000000005,45
39,39,39,1720.0,410.0000000000005,45
40,40,40,1762.0,809.0000000000005,45
41,41,41,1798.0,890.0000000000005,45
42,42,42,1837.0,1091.0000000000002,45
43,43,43,2047.0,512.0000000000006,45
44,44,44,2062.0,563.0000000000006,45
45,45,45,2512.0,1073.0000000000002,45
46,46,46,2467.0,1031.0000000000002,45
47,47,47,394.00000000000017,98.00000000000044,60
48,48,48,454.00000000000017,509.0000000000005,60
49,49,49,280.00000000000017,485.0000000000005,60
50,50,50,307.00000000000017,764.0000000000005,60
51,51,51,283.00000000000017,929.0000000000005,60
52,52,52,232.00000000000023,959.0000000000005,60
53,53,53,274.00000000000017,1685.0000000000002,60
54,54,54,259.00000000000017,1907.0,60
55,55,55,973.0,788.0000000000005,60
56,56,56,1129.0,875.0000000000005,60
57,57,57,1186.0,905.0000000000005,60
58,58,58,1216.0,752.0000000000005,60
59,59,59,1051.0,587.0000000000006,60
60,60,60,1504.0,881.0000000000005,60
61,61,61,1156.0,1091.0000000000002,60
62,62,62,1078.0,1103.0000000000002,60
63,63,63,1075.0,1160.0000000000002,60
64,64,64,1531.0,1709.0000000000002,60
65,65,65,1624.0,1340.0000000000002,60
66,66,66,1549.0,1337.0000000000002,60
67,67,67,1546.0,1190.0000000000002,60
68,68,68,2002.0,554.0000000000006,60
69,69,69,37.000000000000256,503.0000000000005,75
70,70,70,433.00000000000017,413.0000000000005,75
71,71,71,472.00000000000017,452.0000000000005,75
72,72,72,259.00000000000017,734.0000000000005,75
73,73,73,241.00000000000023,905.0000000000005,75
74,74,74,232.00000000000023,1058.0000000000002,75
75,75,75,298.00000000000017,977.0000000000005,75
76,76,76,475.00000000000017,836.0000000000005,75
77,77,77,535.0000000000001,824.0000000000005,75
78,78,78,343.0000000000001,1646.0000000000002,75
79,79,79,934.0,1139.0000000000002,75
80,80,80,1204.0,1619.0000000000002,75
81,81,81,1537.0,533.0000000000006,75
82,82,82,1639.0,527.0000000000006,75
83,83,83,2464.0,1031.0000000000002,75
84,84,84,310.00000000000017,1814.0,90
85,85,85,439.00000000000017,743.0000000000005,90
86,86,86,802.0000000000003,689.0000000000005,90
87,87,87,1204.0,701.0000000000005,90
88,88,88,1249.0,941.0000000000005,90
89,89,89,1195.0,1292.0000000000002,90
90,90,90,1084.0,1337.0000000000002,90
91,91,91,1321.0,1640.0000000000002,90
92,92,92,1882.0,872.0000000000005,90
93,93,93,1822.0,845.0000000000005,90
94,94,94,1777.0,503.0000000000005,90
95,95,95,457.00000000000017,122.00000000000044,105
96,96,96,421.00000000000017,161.00000000000043,105
97,97,97,1156.0,1475.0000000000002,105
98,98,98,1099.0,1442.0000000000002,105
99,99,99,1009.0,1316.0000000000002,105
100,100,100,1399.0,773.0000000000005,105
101,101,101,1441.0,803.0000000000005,105
102,102,102,1420.0,938.0000000000005,105
103,103,103,1510.0,1124.0000000000002,105
104,104,104,1471.0,1118.0000000000002,105
105,105,105,394.00000000000017,938.0000000000005,120
106,106,106,424.00000000000017,1847.0,120
107,107,107,475.00000000000017,1826.0,120
108,108,108,1108.0,1400.0000000000002,120
109,109,109,1417.0,1163.0000000000002,120
110,110,110,1450.0,995.0000000000005,120
111,111,111,1714.0,347.00000000000045,120
112,112,112,1423.0,554.0000000000006,120
113,113,113,1069.0,1391.0000000000002,135
114,114,114,1141.0,1397.0000000000002,135
115,115,115,1396.0,647.0000000000006,135
116,116,116,1369.0,881.0000000000005,135
117,117,117,34.000000000000256,803.0000000000005,150
118,118,118,79.00000000000024,851.0000000000005,150
119,119,119,577.0000000000002,545.0000000000006,150
120,120,120,958.0,1406.0000000000002,150
121,121,121,1270.0,1766.0000000000002,150
122,122,122,1432.0,1058.0000000000002,150
123,123,123,1489.0,1055.0000000000002,150
124,124,124,1123.0,746.0000000000005,150
125,125,125,1120.0,620.0000000000006,150
126,126,126,523.0000000000001,602.0000000000006,165
127,127,127,502.00000000000017,737.0000000000005,165
128,128,128,1363.0,974.0000000000005,165
129,129,129,985.0,1475.0000000000002,165
130,130,130,1312.0,614.0000000000006,165
131,131,131,685.0000000000002,446.0000000000005,180
132,132,132,817.0000000000003,575.0000000000006,180
133,133,133,1249.0,845.0000000000005,180
134,134,134,1696.0,284.0000000000004,180
135,135,135,1129.0,1343.0000000000002,240
136,136,136,1096.0,680.0000000000006,240
137,137,137,1327.0,404.0000000000004,240
138,138,138,1237.0,1193.0000000000002,255
139,139,139,1201.0,1568.0000000000002,270
0,0,0,1918.0,1502.0000000000002,0
1,1,1,58.000000000000256,746.0000000000005,15
2,2,2,1831.0,1784.0000000000002,15
3,3,3,1753.0,1310.0000000000002,15
4,4,4,1792.0,1247.0000000000002,15
5,5,5,1555.0,332.0000000000004,15
6,6,6,2242.0,1091.0000000000002,15
7,7,7,2467.0,1556.0000000000002,15
8,8,8,2389.0,1598.0000000000002,15
9,9,9,2290.0,1913.0,15
10,10,10,2353.0,1844.0,15
11,11,11,196.00000000000023,275.0000000000004,30
12,12,12,196.00000000000023,881.0000000000005,30
13,13,13,178.00000000000026,929.0000000000005,30
14,14,14,106.00000000000024,1241.0000000000002,30
15,15,15,379.00000000000017,1433.0000000000002,30
16,16,16,433.00000000000017,1490.0000000000002,30
17,17,17,76.00000000000024,1616.0000000000002,30
18,18,18,835.0,2039.0,30
19,19,19,646.0000000000002,1352.0000000000002,30
20,20,20,580.0000000000002,1127.0000000000002,30
21,21,21,517.0000000000001,1082.0000000000002,30
22,22,22,679.0000000000002,692.0000000000005,30
23,23,23,922.0,929.0000000000005,30
24,24,24,1312.0,377.0000000000005,30
25,25,25,1321.0,650.0000000000006,30
26,26,26,1414.0,1049.0000000000002,30
27,27,27,1483.0,1319.0,30
28,28,28,1678.0,1274.0000000000002,30
29,29,29,1792.0,785.0000000000005,30
30,30,30,1804.0,359.00000000000045,30
31,31,31,1582.0,83.00000000000045,30
32,32,32,1983.9999999999995,158.00000000000043,30
33,33,33,2134.0,239.00000000000043,30
34,34,34,2464.0,287.0000000000004,30
35,35,35,2224.0,449.0000000000005,30
36,36,36,2206.0,914.0000000000005,30
37,37,37,2272.0,902.0000000000006,30
38,38,38,2206.0,1418.0000000000002,30
39,39,39,2269.0,1613.0000000000002,30
40,40,40,2410.0,1874.0,30
41,41,41,2476.0,1904.0,30
42,42,42,355.00000000000017,227.00000000000043,45
43,43,43,400.00000000000017,209.00000000000043,45
44,44,44,118.00000000000024,1004.0000000000005,45
45,45,45,139.00000000000023,1217.0000000000002,45
46,46,46,106.00000000000024,1328.0000000000002,45
47,47,47,217.00000000000023,1322.0000000000005,45
48,48,48,289.00000000000017,1298.0000000000002,45
49,49,49,103.00000000000024,1700.0000000000002,45
50,50,50,253.00000000000023,1649.0000000000002,45
51,51,51,205.00000000000023,1781.0000000000002,45
52,52,52,43.000000000000256,1517.0000000000002,45
53,53,53,934.0,2090.0,45
54,54,54,673.0000000000002,1388.000000000001,45
55,55,55,631.0000000000002,1391.0000000000002,45
56,56,56,655.0000000000002,1295.0000000000002,45
57,57,57,604.0000000000002,1193.0000000000002,45
58,58,58,628.0000000000002,692.0000000000005,45
59,59,59,835.0,593.0000000000006,45
60,60,60,964.0,824.0000000000005,45
61,61,61,1189.0,476.0000000000005,45
62,62,62,1408.0,911.0000000000005,45
63,63,63,1102.0,1100.0000000000002,45
64,64,64,1159.0,1190.0000000000002,45
65,65,65,1117.0,1535.0000000000002,45
66,66,66,1204.0,1343.0000000000002,45
67,67,67,1453.0,1148.0000000000002,45
68,68,68,1453.0,1250.0000000000002,45
69,69,69,1384.0,1319.0,45
70,70,70,1906.0,1169.0000000000002,45
71,71,71,1981.0,632.0000000000006,45
72,72,72,1660.0,299.0000000000004,45
73,73,73,1750.0,173.00000000000043,45
74,74,74,1675.0,143.00000000000043,45
75,75,75,2506.0,38.000000000000455,45
76,76,76,2245.0,671.0000000000006,45
77,77,77,2275.0,1178.0000000000002,45
78,78,78,2206.0,1133.0000000000002,45
79,79,79,244.00000000000023,1274.0000000000002,60
80,80,80,283.00000000000017,1433.0000000000002,60
81,81,81,142.00000000000026,1550.0000000000002,60
82,82,82,25.00000000000025,1631.0000000000002,60
83,83,83,28.00000000000025,1799.0000000000002,60
84,84,84,16.000000000000256,1835.0,60
85,85,85,115.00000000000024,1952.0,60
86,86,86,115.00000000000024,1814.0,60
87,87,87,307.00000000000017,1790.0000000000002,60
88,88,88,373.00000000000017,1613.0000000000002,60
89,89,89,337.00000000000017,1649.0000000000002,60
90,90,90,571.0000000000002,1802.0,60
91,91,91,616.0000000000002,1892.0,60
92,92,92,661.0000000000002,1865.0,60
93,93,93,688.0000000000003,755.0000000000005,60
94,94,94,1144.0,407.0000000000005,60
95,95,95,1246.0,947.0000000000005,60
96,96,96,1141.0,1127.0000000000002,60
97,97,97,1120.0,1751.0000000000002,60
98,98,98,1696.0,1361.0000000000002,60
99,99,99,1651.0,1358.0000000000002,60
100,100,100,1630.0,1301.0000000000002,60
101,101,101,1699.0,842.0000000000005,60
102,102,102,1678.0,797.0000000000005,60
103,103,103,1747.0,227.00000000000043,60
104,104,104,1666.0,80.00000000000045,60
105,105,105,2323.0,893.0000000000005,60
106,106,106,2119.0,935.0000000000005,60
107,107,107,2392.0,1757.0000000000002,60
108,108,108,2401.0,1667.0000000000002,60
109,109,109,202.00000000000023,1217.0000000000002,75
110,110,110,55.000000000000256,1280.0000000000002,75
111,111,111,46.000000000000256,1340.0000000000002,75
112,112,112,106.00000000000024,1460.0000000000002,75
113,113,113,145.00000000000026,1406.0000000000002,75
114,114,114,508.00000000000017,1736.0000000000002,75
115,115,115,541.0000000000001,1622.0000000000002,75
116,116,116,673.0000000000002,803.0000000000005,75
117,117,117,631.0000000000002,752.0000000000005,75
118,118,118,1084.0,383.0000000000005,75
119,119,119,1318.0,1271.0000000000002,75
120,120,120,1363.0,1229.0000000000002,75
121,121,121,1615.0,803.0000000000005,75
122,122,122,1810.0,194.00000000000043,75
123,123,123,2392.0,119.00000000000044,75
124,124,124,2275.0,311.0000000000004,75
125,125,125,2524.0,527.0000000000006,75
126,126,126,2209.0,1130.0000000000002,75
127,127,127,2149.0,995.0000000000005,75
128,128,128,2194.0,998.0000000000005,75
129,129,129,2284.0,1571.0000000000002,75
130,130,130,286.00000000000017,854.0000000000005,90
131,131,131,169.00000000000026,1274.0000000000002,90
132,132,132,178.00000000000026,1310.0000000000002,90
133,133,133,145.00000000000026,1511.0000000000002,90
134,134,134,49.000000000000256,2096.0,90
135,135,135,205.00000000000023,1988.0,90
